Row Labels,Sum of Column 1
Alberta Education ,687
University of Alberta,34
ICT ,32
International Languages Programs,17
CANARIE ,16
Alberta Learning Information Service ,16
DAIR ,16
Comments Information and Communication Technology Specific Outcomes Division ,15
University of Calgary ,11
Media Awareness Network Resources ,10
Advanced Research and Innovation Network ,10
PML ,9
CMEC ,9
Association ,8
Technology and High School Success,7
Microsoft ,7
PASI ,6
Calgary Cyberports ,6
Google ,6
Modern Language Review ,6
 Alberta Regional Professional Development Consortia,6
REM Technologies ,5
Nelson Education Pearson Math ,5
University of Oslo ,5
Andoya Rocket Range ,5
OpenStack User Group ,5
CAA ,5
TIMSS ,5
CANARIE Inc. ,5
LRC ,5
Comments Career and Technology Studies,5
NEP ,5
CPF Alberta News ,5
Precise Transcript Management Ltd ,5
Edmonton Public Schools ,5
School of Electrical ,5
Institute for Space Science ,5
University of Campinas ,5
University of Victoria ,5
Alberta Advanced Education ,5
IntelliView Technologies Howard Malm ,5
Microsoft Office ,4
NSF ,4
Facebook ,4
Alberta Teachers ,4
par Alberta Education ,4
Comments Information and Communication Technology ICT ,4
ESRI ,4
Department of Computer Science ,3
Organisation de la ressource Organisation de la ressource Des ,3
Space Science Data Portal ,3
LHC ,3
PISA ,3
Life Management ,3
Seattle Internet Exchange ,3
GreenStar Network ,3
Technology Research School Technology Sector ,3
Management Consulting Inc. ,3
Galileo ,3
Manitoba Education ,3
Cybera Inc. ,3
Howard Research ,3
ATL ,3
Education Society ,3
Sine ,3
Catholic ,3
SuperNet Service ,3
CBC ,3
K ,3
CPF Alberta News 95 ,3
Compute Canada ,3
First Nations ,3
Calgary Board of Education ,3
Innovate Calgary ,3
Learning Disabilities Association of Manitoba ,2
Robin Winsor Network News ,2
Mount Royal University ,2
Cambrian House ,2
University of New Brunswick ,2
CBC Radio ,2
Manipulation of Data ,2
Cloud Services for Water Management ,2
Parliament Hill ,2
Comments Assistive Technology for Learning Section Navigation,2
Telus ,2
Alberta Science and Technology ,2
ITAC ,2
Communication Technologies ,2
Les ÌÄ‰Û¡ditions des Plaines MathÌÄå©matiques ,2
Cortex ,2
MDC ,2
Council of Ministers of Education ,2
Palliser Regional Schools ,2
Alberta Technology Leaders in Education ,2
Quelle ,2
CPF Alberta Newsletter ,2
Alberta Mental Health Board ,2
CTI ,2
The University of Alberta ,2
Cummins ,2
WCP ,2
DPA ,2
Calgary Technologies Inc. ,2
Edmonton Catholic Schools ,2
Learning Technologies ,2
Educational Technology Council of the Alberta Teachers ,2
Limited Formal Schooling ,2
Environmental Hub ,2
McGill University ,2
Ernest C. Manning Foundation ,2
Metiri Group ,2
ESO ,2
Pacific Education Press ,2
ESRI Canada ,2
par Elections Alberta ,2
Faculty of Medicine ,2
PATI ,2
Field Review ,2
Rackspace ,2
First Nation ,2
School Technology Sector ,2
FNMI ,2
Society ,2
AISI ,2
Tesera Systems Inc. ,2
Green Information Technology ,2
Alberta Innovation Voucher Pilot Program ,2
Information and Communications Technologies ,2
Videoconferencing Alberta Education ,2
Internet Alberta Education ,2
Wellness Education ,2
IPP ,2
Westwind School ,2
Outils ,1
University of Calgary Research Park ,1
School Technology Services Courses Alberta Education ,1
Comments Sciences ,1
Montgomery County Public Schools ,1
Comments Social Studies Elementary Information Related ,1
Publications Alberta Education ,1
Comments Social Studies Social Studies Guide ,1
Stony Plain AB ,1
Comments Special Education ,1
BCNET ,1
Comments Special Education Access ,1
New Ideas for Shared Solutions ,1
Comments Special Education Section Navigation Requirements for Special Education ,1
Physical Education Kindergarten ,1
Comments Teacher Resources Daily Physical Activity Initiative Alberta Education ,1
Research ,1
Comments Teachers Programs of Study Alberta ,1
Comments Physical Education Early Childhood Services ,1
Canadian Journal of Education ,1
Comments Physical Education Section Navigation Kindergarten ,1
Adobe Cumulative Licensing Program Alberta Education ,1
Value of Collaboration Metiri ,1
Computer Engineering Graduate Reseach Sympsosium ,1
Aboriginal Learning Services department of Edmonton Catholic Schools ,1
Concordia ,1
Native Languages Home Page Western ,1
Concordia University College of Alberta ELA ,1
Okaki Health Intelligence ,1
Congress ,1
Parkland School ,1
Contacts Alberta Education ,1
President of Information Technology ,1
Coquitlam ,1
Red Deer ,1
Canadian Space Agency ,1
s College ELA ,1
Cortex Business Solutions Inc. ,1
SETT ,1
Canadian University Council of Chief Information Officers ,1
Calcul Canada Cloud ,1
Course Delivery Within Alberta Application ,1
Teacher Book Resource Development Services ,1
CPF ,1
Toronto Chapter ,1
Canadiens ,1
University of Saskatchewan ,1
Amazon ,1
Comments Research and Publications Tech.News Monthly Newsletter Tech.News ,1
Adobe ,1
Medicine Hat College ELA ,1
CPF National News ,1
Ministry of Education ,1
CRC ,1
MyWorld Student Resource Wireless Local Area Network ,1
Cree Language ,1
Bell Canada Returning ,1
CRTC ,1
North American Enterprise Linux ,1
Crystal ,1
Biologie ,1
CSSA ,1
Canadian Education Association ,1
CANARIE Board ,1
Pearson Education ,1
CTO ,1
Port Coquitlam BC ,1
CTS Learning and Teaching Resource Review Centres ,1
Provincial Advisory Committee ,1
Alberta Regional Consortia Education Standing Offers Alberta Education ,1
Comments Maternelle Le ,1
Curriculum Express for Parents ,1
Regional Developments in Advanced Networks ,1
Curriculum Summaries and Curriculum Express ,1
Ross Glen Hall of Mount Royal University ,1
Cybera ,1
SBIR ,1
Cybera AGM in Calgary ,1
Secondary Studies ,1
Cybera Communications ,1
Shell ,1
Alberta Learning Information Services ,1
Comments Physical Education Heart Health Section Navigation A Resource for Senior High School Physical Education ,1
AGM ,1
St. Mary ,1
DAIR Program ,1
Successful Applicants Alberta Education ,1
Davis LLP Alberta Innovates ,1
Alberta Innovation ,1
Dean of Science ,1
The Ukrainian Language Arts ,1
Apple Computer ,1
