Row Labels,Sum of Sum
Cybera ,78
Metiri ,12
Elle ,8
Voici ,8
MÌÄå©tis ,7
Cela ,7
Incitez ,6
Campello ,5
Demers ,5
David Miles ,5
Roberts ,5
Ricardo Campello ,5
Robin Winsor ,5
Tardif ,5
Scott Moore ,5
Joanne ,5
Wael Badawy ,5
Joanne Roberts ,5
Cheryl Lemke ,4
Informez ,4
Halsall ,4
Edna Dach ,4
Utilisez ,4
Dave Hauschildt ,4
Remarque ,4
Mentionnez ,4
Clore ,4
Guider ,4
Rousseau ,4
Outillez ,4
Azofeifa ,4
RÌÄå©pondez ,4
Regroupez ,4
Jacques ,4
Les ,4
SuggÌÄå©rez ,3
Ed Stelmach ,3
Breanne Lawrenson ,3
Jim Roche ,3
Schaeffer ,3
Wiss ,3
Cheryl ,3
Liang ,3
Ralph Luedtke ,3
MacGregor ,3
Edwards ,3
Manuel ,3
Sorenson ,3
Mova ,3
VÌÄå©rifie ,3
Moyle ,3
Ali Khan ,3
Robertson ,2
Viser ,2
Adam Lukaszuk ,2
Jean ,2
Weber ,2
Daniel ,2
Kirstmanson ,2
Jeff Bath ,2
Tournez ,2
Mark ,2
Jonathan Schaeffer ,2
Mark Whitmore ,2
Robert Bateman ,2
Martine ,2
Expliquez ,2
Betach ,2
Sharon Friesen ,2
David Ackerman ,2
Suzanne ,2
Michael ,2
Alexis Milinusic ,2
Michael Bradford ,2
John ,2
Michael Sikorsky ,2
Dicks ,2
MontrÌÄå©al ,2
Bruck ,2
Choisissez ,2
Claudette Tardif ,2
Arturo Sanchez ,2
Alan Chouinard ,2
Cummins ,2
Sanchez ,2
Nora Young ,2
FranÌÄå¤ois Lentz ,2
Bradford ,2
Kylie Robertson ,2
Patrick Mann ,2
Susan ,2
Paul Sorenson ,2
Goebel ,2
Paul Strong ,2
Trevor Doerksen ,2
Paula Lee ,2
James Moore ,2
Paule ,2
Lynn Sutherland ,2
Proposez ,2
Nisbet ,2
Joseph ,2
Monique ,1
Ron Triffo ,1
Plamondon ,1
Einstein ,1
Tim Coates ,1
Elgg ,1
Pamela ,1
Aberta ,1
Renee Elio ,1
Elle donne ,1
St. Thomas Aquinas ,1
Ellen B. ,1
W. Russ ,1
Eric Newell ,1
N. Halsall ,1
Erin Gibson ,1
Pensez ,1
Ernest LeFebvre ,1
Arturo ,1
Erwin Loewen ,1
Robert Thirsk ,1
Bette Gray ,1
Sandy Bisaro ,1
Faune ,1
Don Knezek ,1
Finley ,1
Ulrike Tellowitz ,1
Fitch ,1
Michelle Jacobsen ,1
Forman ,1
Moore ,1
Foster ,1
Anne Bennett ,1
Bill Appelbe ,1
Dale Hudjik ,1
France ,1
Peter Singendonk ,1
Franco ,1
Preston Manning ,1
Fred Genesee ,1
Regina ,1
Froehlich ,1
Rita ,1
G. ,1
De Marque ,1
Geoff Gosling ,1
BÌÄå¢tir ,1
Geoff Hayward ,1
des MÌÄå©tis ,1
Gerald ,1
Steven Hand ,1
Gerald Neufeld ,1
Tara Williams ,1
Ghadbane ,1
Tony Clement ,1
